Column,Data Type,Description,Example / Values
customerID,Categorical / ID,Unique identifier for each customer,7590-VHVEG
gender,Categorical,Gender of the customer,"Male, Female"
SeniorCitizen,Numerical / Binary,Indicates whether the customer is a senior citizen,"0, 1"
Partner,Categorical,Whether the customer has a partner,"Yes, No"
Dependents,Categorical,Whether the customer has dependents,"Yes, No"
tenure,Numerical,Number of months the customer has been with the company,"1, 24, 72"
PhoneService,Categorical,Whether the customer has phone service,"Yes, No"
MultipleLines,Categorical,Whether the customer has multiple phone lines,"Yes, No, No phone service"
InternetService,Categorical,Type of internet service subscribed to,"DSL, Fiber optic, No"
OnlineSecurity,Categorical,Whether the customer has online security service,"Yes, No, No internet service"
OnlineBackup,Categorical,Whether the customer has online backup service,"Yes, No, No internet service"
DeviceProtection,Categorical,Whether the customer has device protection service,"Yes, No, No internet service"
TechSupport,Categorical,Whether the customer has technical support service,"Yes, No, No internet service"
StreamingTV,Categorical,Whether the customer has streaming TV service,"Yes, No, No internet service"
StreamingMovies,Categorical,Whether the customer has streaming movie service,"Yes, No, No internet service"
Contract,Categorical,Type/length of customer's contract,"Month-to-month, One year, Two year"
PaperlessBilling,Categorical,Whether the customer uses paperless billing,"Yes, No"
PaymentMethod,Categorical,Method used by the customer to make payments,"Electronic check, Mailed check, Bank transfer (automatic), Credit card (automatic)"
MonthlyCharges,Numerical,Amount charged to the customer each month,"29.85, 70.35"
TotalCharges,Numerical,Total amount charged to the customer over their tenure,"29.85, 1889.50"
Churn,Target / Categorical,Indicates whether the customer left the company,"Yes, No"
